City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
591,Oriximina,BR,78.66,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
595,Vila Franca Do Campo,PT,73.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
597,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
599,Bac Lieu,VN,82.4,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
606,Kununurra,AU,82.38,few clouds,-15.7667,128.7333,Hotel Kununurra
607,Sarangani,PH,83.53,broken clouds,5.4033,125.4636,Ballistic Islet
611,San Patricio,US,78.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
612,Pasni,PK,78.6,clear sky,25.2631,63.471,Kashmiri Hotal
614,Malpe,IN,76.3,scattered clouds,13.35,74.7167,Hotel Sri Krishna Residency
618,Santa Fe,AR,81.99,light rain,-31.6333,-60.7,Conquistador Hotel
619,Vao,NC,72.07,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
621,Chuncheng,CN,77.02,overcast clouds,22.1731,111.7886,7Days Inn Yangjiang Yangchun Bus Terminal
625,Maturin,VE,71.94,clear sky,9.75,-63.1767,Hotel Residencial La Pichincha
627,Bontang,ID,81.73,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
628,Mackay,AU,80.58,broken clouds,-21.15,149.2,International Lodge Motel
629,Carmen,MX,76.6,few clouds,18.6333,-91.8333,Hotel Lossandes
631,Alice Springs,AU,71.15,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
633,Fabrica,PH,84.9,few clouds,13.49,123.294,PALDO RESIDENCE
638,Nuevo Progreso,MX,79.59,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
639,Punalur,IN,78.48,overcast clouds,9.0,76.9333,Motel Araam
640,Carauari,BR,75.49,broken clouds,-4.8828,-66.8958,Hotel Fellip
643,Paralimni,CY,72.09,broken clouds,35.0375,33.9833,Amore Hotel Apartments
644,Peniche,PT,70.61,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
647,Murud,IN,76.51,scattered clouds,18.3258,72.965,On Point Plaza
649,La Romana,DO,79.16,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
650,Green Valley,US,81.37,clear sky,31.8543,-110.9937,Best Western Green Valley Inn
653,Port-Gentil,GA,78.3,moderate rain,-0.7193,8.7815,Fengshui Residence
656,Kaffrine,SN,84.09,few clouds,14.1059,-15.5508,Beuleup counda motel
658,Esperantina,BR,76.46,overcast clouds,-3.9017,-42.2336,Pousada Recanto Das Aguas
661,Bom Jesus,BR,80.58,scattered clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
