City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
103,Homun,20.7333,-89.2833,83.95,37,4,7.74,MX,2021-10-31 22:00:18
104,Vaini,-21.2,-175.2,75.67,78,2,17.16,TO,2021-10-31 22:00:19
105,Aragarcas,-15.8975,-52.2508,73.26,91,80,3.89,BR,2021-10-31 22:00:19
106,Aswan,24.0934,32.907,82.9,30,100,6.67,EG,2021-10-31 22:00:20
107,Harper,4.375,-7.7169,78.19,86,52,9.04,LR,2021-10-31 22:00:20
108,Thinadhoo,0.5333,72.9333,82.54,76,99,20.07,MV,2021-10-31 22:00:21
109,Severo-Yeniseyskiy,60.3725,93.0408,18.64,95,100,3.0,RU,2021-10-31 22:00:21
110,Kyshtovka,56.555,76.6271,20.21,88,100,4.25,RU,2021-10-31 22:00:22
111,Kieta,-6.2167,155.6333,82.9,72,92,2.44,PG,2021-10-31 22:00:22
112,Bulgan,48.8125,103.5347,31.57,54,100,2.35,MN,2021-10-31 22:00:23
113,Ewa Beach,21.3156,-158.0072,85.01,57,0,8.01,US,2021-10-31 22:00:24
114,Neuquen,-38.9516,-68.0591,62.35,34,99,15.75,AR,2021-10-31 22:00:24
115,Manaus,-3.1019,-60.025,80.94,72,96,0.6,BR,2021-10-31 22:00:25
116,San Policarpo,12.1791,125.5072,80.4,82,80,13.89,PH,2021-10-31 22:00:25
117,Tongren,27.7172,109.1853,58.19,94,100,3.47,CN,2021-10-31 22:00:25
118,Kaitangata,-46.2817,169.8464,57.06,46,77,8.43,NZ,2021-10-31 22:00:26
119,Mpulungu,-8.7623,31.1141,75.97,78,90,1.66,ZM,2021-10-31 22:00:26
120,Albania,41.0,20.0,45.79,61,0,4.23,AL,2021-10-31 21:58:51
121,Mitu,1.1983,-70.1733,75.04,97,100,2.26,CO,2021-10-31 22:00:27
122,Mahebourg,-20.4081,57.7,71.89,83,40,3.44,MU,2021-10-31 21:56:43
123,Caravelas,-17.7125,-39.2481,75.42,81,93,8.25,BR,2021-10-31 21:56:46
124,Herat,34.5,62.0,44.15,50,13,8.95,AF,2021-10-31 22:00:28
125,Opotiki,-38.0833,177.2833,66.38,54,100,4.05,NZ,2021-10-31 22:00:28
126,Kailua,21.4022,-157.7394,85.06,69,1,4.83,US,2021-10-31 22:00:28
127,Flin Flon,54.7682,-101.865,33.85,70,100,8.43,CA,2021-10-31 22:00:29
128,Estelle,29.8458,-90.1067,77.0,53,0,1.99,US,2021-10-31 22:00:29
129,Wanaka,-44.7,169.15,54.1,62,53,5.01,NZ,2021-10-31 21:59:39
130,Labuhan,-6.8844,112.2051,80.51,78,100,3.13,ID,2021-10-31 22:00:30
131,Maceio,-9.6658,-35.7353,78.24,88,0,8.05,BR,2021-10-31 22:00:30
132,Tiksi,71.6872,128.8694,16.38,79,100,12.46,RU,2021-10-31 22:00:31
133,Tilichiki,60.4667,166.1,-6.12,96,56,11.21,RU,2021-10-31 22:00:31
134,Mehamn,71.0357,27.8492,33.71,80,44,20.47,NO,2021-10-31 22:00:31
135,Nome,64.5011,-165.4064,16.16,85,86,5.91,US,2021-10-31 22:00:32
136,Dalton,34.7698,-84.9702,62.19,77,1,3.44,US,2021-10-31 22:00:32
137,Juneau,58.3019,-134.4197,44.83,83,99,4.16,US,2021-10-31 22:01:33
138,Maturin,9.75,-63.1767,76.21,82,100,6.13,VE,2021-10-31 22:01:33
139,Lasa,46.6166,10.7002,50.74,97,100,4.03,IT,2021-10-31 22:01:34
140,Taoudenni,22.6783,-3.9836,82.71,17,0,10.89,ML,2021-10-31 22:01:34
141,Hovd,48.0056,91.6419,37.26,41,100,13.8,MN,2021-10-31 22:01:34
142,Bayevo,53.2833,80.7667,25.9,86,95,10.45,RU,2021-10-31 22:01:35
143,Winnemucca,40.973,-117.7357,64.45,36,1,6.91,US,2021-10-31 22:01:35
144,Caernarfon,53.1413,-4.2702,51.67,42,90,37.98,GB,2021-10-31 22:01:36
145,Codrington,-38.2667,141.9667,53.2,80,8,4.68,AU,2021-10-31 22:01:36
146,Mogadishu,2.0371,45.3438,78.85,81,2,16.55,SO,2021-10-31 22:00:11
147,Dmanisi,41.5251,44.3472,38.14,86,94,2.33,GE,2021-10-31 22:01:37
148,Severo-Kurilsk,50.6789,156.125,34.11,64,99,27.25,RU,2021-10-31 22:01:37
149,Namatanai,-3.6667,152.4333,82.06,76,63,7.87,PG,2021-10-31 22:01:38
150,Beidao,34.5686,105.8933,48.16,86,100,3.98,CN,2021-10-31 22:01:38
151,Bambous Virieux,-20.3428,57.7575,71.85,83,40,3.44,MU,2021-10-31 21:56:47
152,San Patricio,28.017,-97.5169,86.09,40,0,13.09,US,2021-10-31 22:01:38
153,Apiai,-24.5094,-48.8425,58.42,100,100,2.28,BR,2021-10-31 22:00:04
154,Concordia,-31.393,-58.0209,87.87,48,75,8.05,AR,2021-10-31 21:56:56
155,Indiaroba,-11.5192,-37.5117,74.71,87,80,4.74,BR,2021-10-31 22:01:39
156,Tammisaari,59.9736,23.4339,50.11,95,42,7.25,FI,2021-10-31 22:01:40
157,Provideniya,64.3833,-173.3,19.51,63,0,13.42,RU,2021-10-31 21:56:51
158,Thompson,55.7435,-97.8558,33.96,75,75,12.66,CA,2021-10-31 21:59:41
159,Shillong,25.5689,91.8831,52.83,78,0,2.06,IN,2021-10-31 22:01:41
160,Lyngseidet,69.5763,20.2189,41.47,90,98,15.9,NO,2021-10-31 22:01:41
161,Sydney,-33.8679,151.2073,67.32,71,75,1.99,AU,2021-10-31 21:59:23
162,Nikolskoye,59.7035,30.7861,48.02,85,100,7.56,RU,2021-10-31 21:59:42
163,Faanui,-16.4833,-151.75,78.73,71,99,15.57,PF,2021-10-31 22:01:42
164,Sibiti,-3.6819,13.3499,69.46,97,95,2.62,CG,2021-10-31 22:01:42
165,Mount Gambier,-37.8333,140.7667,54.18,70,7,3.69,AU,2021-10-31 22:00:14
166,Filingue,14.3521,3.3168,88.59,14,68,8.66,NE,2021-10-31 22:01:43
167,Bredasdorp,-34.5322,20.0403,57.27,74,100,10.42,ZA,2021-10-31 21:59:47
168,Klaksvik,62.2266,-6.589,41.92,64,100,1.19,FO,2021-10-31 22:01:43
169,Haimen,23.1935,116.6142,69.78,75,19,14.18,CN,2021-10-31 22:01:44
170,Solwezi,-12.1688,26.3894,66.88,79,92,4.65,ZM,2021-10-31 22:00:49
171,Inongo,-1.95,18.2667,71.06,94,90,3.76,CD,2021-10-31 22:01:44
172,Isangel,-19.55,169.2667,78.8,71,57,8.81,VU,2021-10-31 22:01:45
173,Galveston,29.3669,-94.9669,82.22,49,1,1.99,US,2021-10-31 22:01:46
174,Zhuhai,22.2769,113.5678,76.05,83,40,8.05,CN,2021-10-31 22:01:46
175,Nortelandia,-14.4547,-56.8028,76.98,82,99,0.43,BR,2021-10-31 22:01:46
176,Oktyabrskiy,54.4815,53.471,43.7,83,66,9.15,RU,2021-10-31 22:01:47
177,Airai,-8.9266,125.4092,61.77,76,76,1.61,TL,2021-10-31 22:01:47
178,Zeya,53.75,127.2667,23.13,54,89,3.62,RU,2021-10-31 22:01:47
