City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
103,Naze,JP,28.3667,129.4833,67.12,75,17,15.41,few clouds
104,Pemangkat,ID,1.1667,108.9667,81.45,80,94,4.85,overcast clouds
105,Apatin,RS,45.6711,18.9847,44.08,80,0,7.16,clear sky
106,Shakiso,ET,5.75,38.9167,53.64,86,8,4.25,clear sky
107,Walvis Bay,NA,-22.9575,14.5053,61.09,87,0,3.44,clear sky
108,Gigmoto,PH,13.7796,124.39,83.41,68,23,11.74,few clouds
109,Saskylakh,RU,71.9167,114.0833,4.59,97,99,6.82,overcast clouds
110,Salihorsk,BY,52.7876,27.5415,38.62,72,0,7.94,clear sky
111,Ocos,GT,14.5094,-92.1933,81.32,77,99,2.71,overcast clouds
112,Bredasdorp,ZA,-34.5322,20.0403,61.92,72,100,5.75,overcast clouds
113,Yulara,AU,-25.2406,130.9889,75.04,60,0,8.05,clear sky
114,Upernavik,GL,72.7868,-56.1549,29.25,77,100,13.38,overcast clouds
115,Provideniya,RU,64.3833,-173.3,19.51,58,0,15.66,clear sky
116,Jasdan,IN,22.0333,71.2,63.68,33,5,7.25,clear sky
117,Albany,US,42.6001,-73.9662,55.74,80,100,10.38,overcast clouds
118,Bathsheba,BB,13.2167,-59.5167,77.61,83,75,16.11,broken clouds
119,Lebu,CL,-37.6167,-73.65,50.92,93,17,5.99,few clouds
120,Half Moon Bay,US,37.4636,-122.4286,65.7,74,20,6.91,few clouds
121,Faanui,PF,-16.4833,-151.75,78.76,74,95,17.05,overcast clouds
122,Isangel,VU,-19.55,169.2667,77.99,71,98,11.61,overcast clouds
123,Sitka,US,57.0531,-135.33,53.49,37,75,10.36,broken clouds
124,Salur,IN,18.5333,83.2167,75.18,88,94,0.45,overcast clouds
125,Caravelas,BR,-17.7125,-39.2481,75.18,82,36,7.61,scattered clouds
126,Rock Springs,US,41.5875,-109.2029,43.05,71,90,12.66,overcast clouds
127,Esteli,NI,13.0919,-86.3538,66.97,92,97,3.71,overcast clouds
128,Saurimo,AO,-9.6608,20.3916,63.88,93,100,3.62,light rain
129,Niteroi,BR,-22.8833,-43.1036,71.58,98,90,5.75,light rain
130,Atar,MR,20.5169,-13.0499,80.6,20,0,5.17,clear sky
131,Los Llanos De Aridane,ES,28.6585,-17.9182,67.12,43,20,11.01,few clouds
